【数码之家坛友分享】
央视频道,#genre#
CCTV-1,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1580954862_989339440/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073730&ContentId=265183188&timezone=UTC&mtv_session=70e0f8e2241f03fbb284fe07471c1406&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a8389d6ec822d0e298d3b92aa95fa266&fbl=$HZYD超清
CCTV-1,http://111.67.202.166/php/best.php?id=cctv1hd8m/8000000&fbl=$BEST超清
CCTV-1,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000021973&channel-id=ystenlive&fbl=$QWDX超清
CCTV-1,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226635/1.m3u8?fbl=$ZQYD超清
CCTV-1,http://111.40.196.33:443/PLTV/88888888/224/3221225548/index.m3u8?fbl=$HRBYD高清
CCTV-1,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001068&fbl=4m$XAYD超清
CCTV-1http://106.39.160.132/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1&fbl=$BJDX超清
CCTV-1,http://122.97.219.244:8098/live/CCTV1/1.m3u8?fbl=$WXLT超清
CCTV-1,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221227003&fbl=$XAYD标清
CCTV-1,https://iptv.luas.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8?fbl=$LZJY超清
CCTV-1,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?fbl=$QWDX超清
CCTV-2,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1581514102_1458964604/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265667329&timezone=UTC&mtv_session=0652a49abec4c860e1b09ad88db72dc8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3816442679b4c149e40771e4b7b870cb&fbl=$HZYD超清
CCTV-2,http://111.67.202.166/php/best.php?id=cctv2hd8m/8000000&fbl=$BEST超清
CCTV-2,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000012442&channel-id=ystenlive&fbl=$QWDX超清
CCTV-2,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?fbl=$ZQYD超清
CCTV-2,http://111.40.196.33:443/PLTV/88888888/224/3221225488/index.m3u8?fbl=$HRBYD高清
CCTV-2,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001293&fbl=4m$XAYD超清
CCTV-2http://106.39.160.132/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1&fbl=$BJDX超清
CCTV-2,http://122.97.219.244:8098/live/CCTV2/1.m3u8?fbl=$WXLT超清
CCTV-2,https://iptv.luas.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/index.m3u8?fbl=$LZJY超清
CCTV-2,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-3,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1581797368_796839580/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265667206&timezone=UTC&mtv_session=930288b6183258a028c1df87d499752c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4fe4ab3b93d2b7f4fe74cdc14f0914bb&fbl=$HZYD超清
CCTV-3,http://111.67.202.166/php/best.php?id=cctv38m/8000000&fbl=$BEST超清
CCTV-3,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000011218&channel-id=ystenlive&fbl=$QWDX超清
CCTV-3,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8?fbl=$ZQYD超清
CCTV-3,http://111.40.196.33:443/PLTV/88888888/224/3221225588/index.m3u8?fbl=$HRBYD高清
CCTV-3,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001598&fbl=4m$XAYD超清
CCTV-3http://106.39.160.132/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1&fbl=$BJDX超清
CCTV-3,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221226397&fbl=$XAYD超清
CCTV-3,https://iptv.luas.edu.cn/liverespath/f76f9947c68be18d7a456e25aa59a08c5747e6a5/index.m3u8?fbl=$LZJY超清
CCTV-3,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-4,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1582083769_-1437579634/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667639&timezone=UTC&mtv_session=bd66c8df11d2f77bee645f53f4ed7362&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c2b1baee99eab7588b8ea53f584c3bb1&fbl=$HZYD超清
CCTV-4,http://111.67.202.166/php/best.php?id=cctv4hd8m/8000000&fbl=$BEST超清
CCTV-4,http://111.67.202.166/php/cmvideo.php?Contentid=1000000002000031664&channel-id=ystenlive&fbl=$QWDX超清
CCTV-4,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8?fbl=$ZQYD超清
CCTV-4,http://111.40.196.33:443/PLTV/88888888/224/3221225490/index.m3u8?fbl=$HRBYD高清
CCTV-4,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001290&fbl=4m$XAYD超清
CCTV-4http://106.39.160.132/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1&fbl=$BJDX超清
CCTV-4,http://122.97.219.244:8098/live/CCTV4/1.m3u8?fbl=$WXLT超清
CCTV-4,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221226191&fbl=$XAYD超清
CCTV-4,https://iptv.luas.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/index.m3u8?fbl=$LZJY超清
CCTV-4,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-5,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1582982132_-1228252651/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667565&timezone=UTC&mtv_session=9723de29a88e2be1095d8c6d5a75dee9&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12723843ed39c650d67a569eb896dd81&fbl=$HZYD超清
CCTV-5,http://111.67.202.166/php/best.php?id=cctv58m/8000000&fbl=$BEST超清
CCTV-5,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000004794&channel-id=ystenlive&fbl=$QWDX超清
CCTV-5,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8?fbl=$ZQYD超清
CCTV-5,http://111.40.196.33:443/PLTV/88888888/224/3221225550/index.m3u8?fbl=$HRBYD高清
CCTV-5,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001850&fbl=4m$XAYD超清
CCTV-5http://106.39.160.132/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?CONTENTID=00000110240246_1&fbl=$BJDX超清
CCTV-5,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221226395&fbl=$XAYD超清
CCTV-5,https://iptv.luas.edu.cn/liverespath/3f76badfb3a23d95f26ff573a93902bbdb8b8e98/index.m3u8?fbl=$LZJY超清
CCTV-5,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-6,http://mobilelive-pull.ysp.cctv.cn/ysp/2013693901_fhd.m3u8?fbl=$QWDX超清
CCTV-6,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1584168866_889700348/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667482&timezone=UTC&mtv_session=f70082b1ade8cb422547681dfcdad578&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3197a71757b802dc65f32626eb2ec8dd&fbl=$HZYD超清
CCTV-6,http://111.67.202.166/php/best.php?id=cctv6hd8m/8000000&fbl=$BEST超清
CCTV-6,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000001737&channel-id=ystenlive&fbl=$QWDX超清
CCTV-6,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8?fbl=$ZQYD超清
CCTV-6,http://111.40.196.33:443/PLTV/88888888/224/3221225590/index.m3u8?fbl=$HRBYD高清
CCTV-6,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001275&fbl=4m$XAYD超清
CCTV-6http://106.39.160.132/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?CONTENTID=00000110240247_1&fbl=$BJDX超清
CCTV-6,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221226393&fbl=$XAYD超清
CCTV-6,https://iptv.luas.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/index.m3u8?fbl=$LZJY超清
CCTV-6,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-7,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1584449189_-1771078739/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667268&timezone=UTC&mtv_session=dac68d68c1a7bfb5fce6e52fcae95b03&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=011fdc0d9d5b681821c2be70c08216b1&fbl=$HZYD超清
CCTV-7,http://111.67.202.166/php/best.php?id=cctv7hd8m/8000000&fbl=$BEST超清
CCTV-7,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000017218&channel-id=ystenlive&fbl=$QWDX超清
CCTV-7,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8?fbl=$ZQYD超清
CCTV-7,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001291&fbl=4m$XAYD超清
CCTV-7http://106.39.160.132/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?CONTENTID=00000110240248_1&fbl=$BJDX超清
CCTV-7,http://122.97.219.244:8098/live/CCTV7/1.m3u8?fbl=$WXLT超清
CCTV-7,https://iptv.luas.edu.cn/liverespath/f116a0a5035935a3435155998163d8eaa60554c3/index.m3u8?fbl=$LZJY超清
CCTV-7,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-8,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1584743785_1819567660/wd_r2/ocn/cctv8hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667466&timezone=UTC&mtv_session=f134ad943219a0326cf721cd778880da&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d7e74f98dc5df6c18673696da1cb0fc7&fbl=$HZYD超清
CCTV-8,http://111.67.202.166/php/best.php?id=cctv8hd8m/8000000&fbl=$BEST超清
CCTV-8,http://111.67.202.166/php/cmvideo.php?Contentid=1000000001000003736&channel-id=ystenlive&fbl=$QWDX超清
CCTV-8,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226005/01.m3u8?fmt=ts2hls&fbl=$GYYD超清
CCTV-8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8?fbl=$ZQYD超清
CCTV-8,http://111.40.196.33:443/PLTV/88888888/224/3221225592/index.m3u8?fbl=$HRBYD高清
CCTV-8,http://111.67.202.166/php/yinhe.php?id=ch00000090990000001869&fbl=4m$XAYD超清
CCTV-8http://106.39.160.132/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?CONTENTID=00000110240249_1&fbl=$BJDX超清
CCTV-8,http://111.67.202.166/php/sanxixian_PLTV.php?id=3221226391&fbl=$XAYD超清
CCTV-8,https://iptv.luas.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/index.m3u8?fbl=$LZJY超清
CCTV-8,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8?fbl=$CQLT超清

CCTV-9,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw1585021209_2146650853/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667202&timezone=UTC&mtv_session=3b457b5d48dfa5bec1b31c42bdc38890&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4831b14f9cf512f5bf6964b103251dc9&fbl=$HZYD超清
CCTV-9,http://111.67.202.166/php/best.php?id=cctv9hd8m/8000000&fbl=$BEST超清
